topic,model,history,story,sentence,total_sequentiality,contextual_sequentiality,topic_sequentiality,story_type
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,6,1,3,1.716973344484965,-53.328125,-57.453125,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,6,1,3,1.9180512527624767,-46.5947265625,-62.1572265625,clairvoyant
A short story titled 'Catch me if you Can',meta-llama/Llama-3.1-8B-Instruct,8,1,3,1.716973344484965,-30.24609375,-43.14453125,naive
A short story about a famous con man being captured,meta-llama/Llama-3.1-8B-Instruct,8,1,3,1.9180512527624767,-32.48260498046875,-61.84375,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,2,1,3,2.1252145767211914,-22.56159210205078,-45.24628925323486,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,2,1,3,2.382272720336914,-40.88671875,-42.85546875,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,4,1,3,2.523774782816569,-45.79927849769592,-59.75942611694336,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,4,1,3,2.708133488893509,-53.490116119384766,-69.1863899230957,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,6,1,3,2.523774782816569,-31.90328884124756,-42.71184539794922,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,6,1,3,2.708133488893509,-28.77001953125,-52.5751953125,clairvoyant
A short story titled 'Catch me if you Can',Qwen/Qwen2.5-7B-Instruct,8,1,3,2.523774782816569,-28.7890625,-45.6875,naive
A short story about a famous con man being captured,Qwen/Qwen2.5-7B-Instruct,8,1,3,2.708133488893509,-63.11328125,-79.02734375,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,2,1,4,0.24699519230769232,-27.80377197265625,-36.70135498046875,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,2,1,4,0.0908954326923077,-42.921875,-66.67578125,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,4,1,4,1.9072265625,-39.7144775390625,-38.07373046875,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,4,1,4,1.9452373798076923,-59.18299102783203,-71.98627471923828,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,6,1,4,1.9072265625,-45.55835437774658,-75.3446273803711,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,6,1,4,1.9452373798076923,-38.83294486999512,-63.142311096191406,clairvoyant
A short story titled 'Catch me if you Can',SakanaAI/TinySwallow-1.5B-Instruct,8,1,4,1.9072265625,-54.138671875,-56.40234375,naive
A short story about a famous con man being captured,SakanaAI/TinySwallow-1.5B-Instruct,8,1,4,1.9452373798076923,-45.7802734375,-58.02392578125,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,2,1,4,0.3173076923076923,-30.048828125,-41.03515625,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,2,1,4,0.17412860576923078,-30.568115234375,-56.5,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,4,1,4,1.8212139423076923,-21.38772177696228,-41.41024208068848,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,4,1,4,1.6588792067307692,-40.587890625,-41.37109375,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,6,1,4,1.8212139423076923,-45.57539355754852,-58.71092510223389,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,6,1,4,1.6588792067307692,-51.55363845825195,-65.9124984741211,clairvoyant
A short story titled 'Catch me if you Can',openai-community/gpt2-xl,8,1,4,1.8212139423076923,-32.21468734741211,-43.74121856689453,naive
A short story about a famous con man being captured,openai-community/gpt2-xl,8,1,4,1.6588792067307692,-31.018310546875,-51.9132080078125,clairvoyant
A short story titled 'Catch me if you Can',allenai/OLMo-2-1124-13B,2,1,4,0.16669170673076922,-28.38671875,-48.060546875,naive
A short story about a famous con man being captured,allenai/OLMo-2-1124-13B,2,1,4,0.18389423076923078,-60.359375,-77.27734375,clairvoyant
