scene number,Start Time (s) ,End Time (s) ,"Start Time (TRs, 1.5s)","End Time (TRs, 1.5s)",scene number - concatenated,Start Time (s)  - concatenated,End Time (s)  - concatenated,"Start Time (TRs, 1.5s) - concatenated","End Time (TRs, 1.5s) - concatenated",Start Time (m.ss),scene title,Space-In/Outdoor or unknown,scene start time,scene end time,Importance_Rater1_PostView,Importance_Rater2_PostView,Importance_Rater3_PostView,Importance_Rater4_PostView,Importance_Rater1_Online,Importance_Rater2_Online,Importance_Rater3_Online,Importance_Rater4_Online
63,819,825,547,551,169,2312,2318,1543,1547,13.39,they look over at eachother,Outdoor,13:39,13:45,8,9,5,4,9,6,7,2
64,826,831,552,555,170,2319,2324,1548,1551,13.46,man goes to desk,Indoor,13:46,13:51,2,6,3,2,1,5,8,3
65,832,835,556,558,171,2325,2328,1552,1554,13.52,finds post-it smiley face in folder,Outdoor,13:52,13:55,6,10,7,7,7,7,9,4
66,836,842,558,562,172,2329,2335,1554,1558,13.56,"he looks around, she glances",Indoor,13:56,14:02,9,8,8,7,9,7,9,4
67,843,850,563,568,173,2336,2343,1559,1564,14.03,he takes it in,Outdoor,14:03,14:10,5,6,6,5,7,5,6,6
68,851,871,568,582,174,2344,2364,1564,1578,14.11,woman goes to desk finds post-it sun on window,Outdoor,14:11,14:31,7,10,7,7,8,7,8,6
69,872,887,582,592,175,2365,2380,1578,1588,14.32,"man straightens up in bathroom, sees post-it heart",Outdoor,14:32,14:47,7,10,7,7,9,10,8,5
70,888,899,593,600,176,2381,2392,1589,1596,14.48,"woman goes in supply closet, sees post-it flowers",Outdoor,14:48,14:59,7,10,7,7,8,8,9,5
71,900,917,601,612,177,2393,2410,1597,1608,15,"woman takes arm full of post-its, heads back to desk",Indoor,15:00,15:17,4,6,6,6,8,6,9,4
72,918,931,613,622,178,2411,2424,1609,1618,15.18,woman sees man making mural of post-its of their faces,Indoor,15:18,15:31,8,10,9,10,10,9,10,6
73,932,939,622,627,179,2425,2432,1618,1623,15.32,"man sees her coming, looks at her",Outdoor,15:32,15:39,6,9,8,6,9,9,10,6
74,940,947,628,632,180,2433,2440,1624,1628,15.4,"she stares back, smiles",Indoor,15:40,15:47,9,9,8,8,9,9,10,5
75,948,955,633,638,181,2441,2448,1629,1634,15.48,BUS STOP opening title,Outdoor,15:48,15:55,2,2,1,NA,NA,NA,NA,NA
76,956,979,638,654,182,2449,2472,1634,1650,15.56,"shot of street, man waiting at bus stop with ice cream listening to headphones",Indoor,15:56,16:19,2,3,2,2,2,4,5,1
77,980,997,654,666,183,2473,2490,1650,1662,16.2,"car screeches up, woman jumps out to use payphone",Outdoor,16:20,16:37,3,4,5,3,5,5,6,3
78,998,1005,666,671,184,2491,2498,1662,1667,16.38,"man watches her, woman bangs phone on hook",Outdoor,16:38,16:45,3,2,4,3,7,6,7,4
79,1006,1014,672,677,185,2499,2507,1668,1673,16.46,"her car starts to roll, she comes toward him",Indoor,16:46,16:54,2,2,5,4,8,6,9,4
80,1015,1029,678,687,186,2508,2522,1674,1683,16.55,"she says she has emergency, needs his phone, he hands her phoen",Outdoor,16:55,17:09,5,6,5,6,9,7,10,4
81,1030,1049,688,700,187,2523,2542,1684,1696,17.1,"she walks around talking on phone, pacing",Outdoor,17:10,17:29,4,5,6,5,9,7,9,6
